messageid,offsetTime,logDateTime,time(millisecond),latitude,longitude,satnum,gpsHealth,altitude,baroAlt,height,accelX,accelY,accelZ,accel,gyroX,gyroY,gyroZ,gyro,errorX,errorY,errorZ,error,magX,magY,magZ,magMod,velN,velE,velD,vel,velH,quatW,quatX,quatY,quatZ,roll,pitch,yaw,yaw360,magYawX,thrustAngle,latitudeHP,longitudeHP,imuTemp,flyc_state,flycStateStr,nonGPSError,nonGPSErrStr,DWflyCState,connectedToRC,current,volt1,volt2,volt3,volt4,volt5,volt6,totalVolts,voltSpread,Watts,batteryTemp(C),ratedCapacity,remainingCapacity,percentageCapacity,batteryUsefulTime,voltagePercent,batteryCycleCount,batteryLifePercentage,batteryBarCode,minCurrent,maxCurrent,avgCurrent,minVolts,maxVolts,avgVolts,minWatts,maxWatts,avgWatts,Gimbal:roll,Gimbal:pitch,Gimbal:yaw,Gimbal:Xroll,Gimbal:Xpitch,Gimbal:Xyaw,rFront,lFront,lBack,rBack,rFrontSpeed,lFrontSpeed,lBackSpeed,rBackSpeed,rFrontLoad,lFrontLoad,lBackLoad,rBackLoad,aileron,elevator,throttle,rudder,modeSwitch,latitudeTablet,longitudeTablet,droneModel
970347,1617.245,0,0,41.29390657625148,-72.96468721265536,9,4,-182.61574782714845,-180.4051025756836,0,-0.05229276046156883,0.06855833530426025,-0.9868987202644348,0.9906582973941931,0.011466807685792446,-0.005893107037991285,0.00984013918787241,0.016218653714191983,-0.05246931314468384,-0.03544941544532776,0.0006483197212219238,0.06332543087694911,196,498,1360,1461.5129147564862,-0.009882770478725433,0.006633396726101637,0.015919256955385208,0.019876967738380096,0.01190256713742976,0.7004202604293823,-0.04617463797330856,0.007883934304118156,-0.7121918201446533,-4.353685913216083,-3.1462390002895457,-91.07451263380973,268.9254873661903,-78.60125348803294,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744558859452155,-5.867103895623804,-90.95782725254574,-4.3550192574409206,-3.140969884209115,-91.07728621933025,1204,3537,4284,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970348,1617.2466666666667,0,0,41.29390657625148,-72.96468721265536,9,4,-182.61574782714845,-180.4051025756836,0,-0.05229276046156883,0.06855833530426025,-0.9868987202644348,0.9906582973941931,0.011466807685792446,-0.005893107037991285,0.00984013918787241,0.016218653714191983,-0.05246931314468384,-0.03544941544532776,0.0006483197212219238,0.06332543087694911,196,498,1360,1461.5129147564862,-0.009882770478725433,0.006633396726101637,0.015919256955385208,0.019876967738380096,0.01190256713742976,0.7004202604293823,-0.04617463797330856,0.007883934304118156,-0.7121918201446533,-4.353685913216083,-3.1462390002895457,-91.07451263380973,268.9254873661903,-78.60125348803294,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80472343452986,-5.831656067605084,-90.9548971013918,-4.353685913216083,-3.1462390002895457,-91.07451263380973,1204,3512,4295,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970350,1617.25,0,0,41.29390657611168,-72.96468721232239,9,4,-179.06760938415528,-180.40082235717773,0,-0.051754988729953766,0.06982169300317764,-0.9890700578689575,0.9928812754026388,0.008234167471528053,-0.0029636439867317677,0.00923044141381979,0.012719502675939085,-0.04449105262756348,-0.04049491882324219,-0.019252948462963104,0.06316619538113018,196,498,1360,1461.5129147564862,-0.010105226188898087,0.0064309220761060715,0.011378705501556396,0.016521116607811047,0.011977994618371648,0.7004244327545166,-0.046178508549928665,0.007859699428081512,-0.7121877670288086,-4.352032189147858,-3.1484777563131723,-91.07388772156338,268.9261122784366,-78.60545615332917,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80472343452986,-5.831656067605084,-90.9548971013918,-4.353685913216083,-3.1462390002895457,-91.07451263380973,1204,3512,4295,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970353,1617.255,0,0,41.29390657597856,-72.96468721199878,9,4,-179.06760938415528,-180.39647956237795,0,-0.053059667348861694,0.06892736256122589,-0.9846243858337402,0.9884591497817645,0.001608292106539011,0.0009372307104058564,0.00492043886333704,0.005260772140315627,-0.06293797492980957,0.0011053085327148438,0.048208869993686676,0.07928748666268855,196,498,1360,1461.5129147564862,-0.010419916361570358,0.00643644854426384,0.006881324108690023,0.014048314786262311,0.01224755187149978,0.7004235982894897,-0.046184975653886795,0.007849936373531818,-0.7121882438659668,-4.351749884623873,-3.149797038067196,-91.07403409607295,268.925965903927,-78.60822928836531,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80472343452986,-5.831656067605084,-90.9548971013918,-4.353685913216083,-3.1462390002895457,-91.07451263380973,1204,3512,4295,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970356,1617.26,0,0,41.29390657584465,-72.96468721167997,9,4,-180.13183190002442,-180.39569110107422,0,-0.05556987226009369,0.07062079757452011,-0.9865214228630066,0.9906057871427542,-0.003952175844460726,0.001146701630204916,0.00507752038538456,0.006535734985313376,-0.05101519823074341,0.025412321090698242,0.02832190692424774,0.06364327871475937,196,498,1360,1461.5129147564862,-0.010674991644918919,0.006563510280102491,0.005875915288925171,0.013840574204082877,0.012531365201609112,0.7004183530807495,-0.046198491007089615,0.007854381576180458,-0.7121924757957458,-4.3531776035129734,-3.1505797682729897,-91.07487251691263,268.92512748308735,-78.61055714848713,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80472343452986,-5.831656067605084,-90.9548971013918,-4.353685913216083,-3.1462390002895457,-91.07451263380973,1204,3512,4295,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970359,1617.265,0,0,41.293906575714935,-72.96468721136567,9,4,-180.13183190002442,-180.39489012451173,0,-0.0561264306306839,0.07230629026889801,-0.9839368462562561,0.9881852524949452,-0.00267073349095881,-0.0016649544704705477,0.0006156798917800188,0.0032068602242085868,-0.04062783718109131,0.027422785758972168,0.04860464483499527,0.06902928242660346,196,498,1360,1461.5129147564862,-0.010878130793571472,0.006700623780488968,0.004809836857020855,0.013651615992286717,0.012776231393087015,0.7004090547561646,-0.046218112111091614,0.007860109210014343,-0.7122002840042114,-4.355183449174698,-3.1517847543093622,-91.07636220996976,268.9236377900302,-78.61405823054962,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80472343452986,-5.831656067605084,-90.9548971013918,-4.353685913216083,-3.1462390002895457,-91.07451263380973,1204,3512,4295,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970360,1617.2666666666667,0,774600,41.293906575714935,-72.96468721136567,9,4,-180.13183190002442,-180.39489012451173,1.1,-0.0561264306306839,0.07230629026889801,-0.9839368462562561,0.9881852524949452,-0.00267073349095881,-0.0016649544704705477,0.0006156798917800188,0.0032068602242085868,-0.04062783718109131,0.027422785758972168,0.04860464483499527,0.06902928242660346,196,498,1360,1461.5129147564862,-0.010878130793571472,0.006700623780488968,0.004809836857020855,0.013651615992286717,0.012776231393087015,0.7004090547561646,-0.046218112111091614,0.007860109210014343,-0.7122002840042114,-4.355183449174698,-3.1517847543093622,-91.07636220996976,268.9236377900302,-78.61405823054962,0,0,0,64,6,GPS_ATTI,0,UNKNOWN,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.875298925449956,-5.791604692085775,-90.95648853546841,-4.355183449174698,-3.1517847543093622,-91.07636220996976,1204,3503,4243,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970362,1617.27,0,774600,41.293906575592324,-72.96468721106599,9,4,-179.42977594299316,-180.39168621826173,1.1,-0.06190498545765877,0.07399025559425354,-0.9876196384429932,0.9923201778587818,0.0031613409519195557,0.0018557499861344695,0.004806479439139366,0.006044843192688392,-0.012518048286437988,0.06701391935348511,-0.005627952516078949,0.06840497620451481,196,498,1360,1461.5129147564862,-0.01094072125852108,0.0070356931537389755,0.0018924525938928127,0.013144646690967248,0.013007703863873307,0.7003998756408691,-0.04623087868094444,0.007860109210014343,-0.7122084498405457,-4.356169884623302,-3.1528871557549203,-91.07783630416182,268.9221636958382,-78.61689803506275,0,0,0,65,6,GPS_ATTI,0,UNKNOWN,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.875298925449956,-5.791604692085775,-90.95648853546841,-4.355183449174698,-3.1517847543093622,-91.07636220996976,1204,3503,4243,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970365,1617.275,0,774600,41.2939065754831,-72.96468721077507,9,4,-179.42977594299316,-180.38844476623535,1.1,-0.062115758657455444,0.07700324058532715,-0.9924964904785156,0.9974152345670299,0.00876883789896965,-0.0031105182133615017,0.001193189062178135,0.009380380684820933,0.02600717544555664,0.07481563091278076,-0.048182807862758636,0.09271102834653985,196,498,1360,1461.5129147564862,-0.01081068441271782,0.00740977143868804,-0.0011966224992647767,0.013160832635161185,0.013106319477449687,0.700391948223114,-0.04623491317033768,0.007848693057894707,-0.7122161984443665,-4.3555245397506805,-3.1541838728060863,-91.07914679020438,268.9208532097956,-78.61946641492192,0,0,0,65,6,GPS_ATTI,0,UNKNOWN,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.875298925449956,-5.791604692085775,-90.95648853546841,-4.355183449174698,-3.1517847543093622,-91.07636220996976,1204,3503,4243,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970368,1617.28,0,774600,41.293906575386536,-72.96468721049334,9,4,-180.13183190002442,-180.38754366760256,1.1,-0.06312616169452667,0.07586107403039932,-0.9937192797660828,0.9986079419983357,0.007448642048984766,-0.003599543822929263,0.0034322948195040226,0.008956541287522005,0.020294010639190674,0.07944530248641968,-0.06419308483600616,0.10413527306222896,196,492,1356,1455.75272625539,-0.010709214024245739,0.007806997746229172,-0.0024115275591611862,0.013470409941621037,0.013252791359812806,0.7003830671310425,-0.04624006152153015,0.007828605361282825,-0.7122248411178589,-4.354255196805947,-3.1562739193726514,-91.08061472742804,268.91938527257196,-78.4859527819614,0,0,0,65,6,GPS_ATTI,0,UNKNOWN,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.875298925449956,-5.791604692085775,-90.95648853546841,-4.355183449174698,-3.1517847543093622,-91.07636220996976,1204,3503,4243,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
